customer_id,full_name,account_age_days,kyc_status,pep_status,declared_monthly_income,device_id_count,unique_counterparties_30d,shared_ip_count,historical_avg_tx_amount,session_velocity_seconds,recent_failed_logins,risk_tier
CUST_0,Allison Hill,3175,Verified,False,2156.3,1,9,1,96.45,78,0,Low
CUST_1,Noah Rhodes,3508,Verified,False,1688.31,1,4,1,1358.95,78,0,Low
CUST_2,Angie Henderson,861,Verified,False,4995.47,2,7,1,926.88,78,0,Low
CUST_3,Daniel Wagner,1295,Verified,False,1319.14,2,11,1,15.28,78,0,Low
CUST_4,Cristian Santos,1131,Verified,False,1243.49,1,16,2,32.33,78,0,Low
CUST_5,Connie Lawrence,1096,Verified,False,4367.62,1,8,1,116.74,78,0,Low
CUST_6,Abigail Shaffer,3093,Verified,False,496.93,1,5,1,7.88,78,0,Low
CUST_7,Gina Moore,1639,Verified,False,1839.55,1,2,2,552.26,78,5,Low
CUST_8,Gabrielle Davis,2170,Verified,False,7015.22,1,5,1,333.68,78,0,Low
CUST_9,Ryan Munoz,467,Verified,False,476.47,1,14,1,228.9,78,0,Low
CUST_10,Monica Herrera,1239,Verified,False,512.42,1,8,1,76.02,78,0,Low
CUST_11,Jamie Arnold,331,Verified,False,710.53,2,10,1,24.12,78,0,Low
CUST_12,Lisa Hensley,1483,Verified,False,194.19,1,14,5,449.98,2,0,High (Network Risk)
CUST_13,Michele Williams,2136,Verified,False,19864.03,2,20,1,20.62,78,0,Low
CUST_14,Dylan Miller,3445,Verified,False,3362.65,1,11,1,57.4,78,0,Low
CUST_15,Brian Ramirez,3172,Verified,False,1524.69,2,10,1,10.49,78,0,Low
CUST_16,Holly Wood,2920,Pending,False,820.44,1,0,1,3.24,78,0,Low
CUST_17,Derek Zuniga,131,Verified,False,26935.87,1,11,2,196.34,78,0,Low
CUST_18,Lisa Jackson,1686,Verified,False,5738.88,2,32,1,31.4,78,0,High (Network Risk)
CUST_19,Carla Gray,3381,Verified,False,2621.79,1,2,5,100.36,78,1,High (Network Risk)
CUST_20,Margaret Hawkins DDS,770,Verified,False,10092.21,2,17,1,182.52,78,0,Low
CUST_21,Patty Perez,2392,Verified,False,4397.36,1,18,1,112.9,78,0,Low
CUST_22,Ethan Adams,1516,Verified,False,1804.47,2,9,1,816.35,78,0,Low
CUST_23,Tommy Walter,3486,Verified,False,1625.53,1,2,1,435.27,78,5,Low
CUST_24,Matthew Foster,2854,Verified,False,1651.77,1,2,1,235.47,78,5,Low
CUST_25,Judy Baker,2434,Verified,False,1079.2,1,8,1,26.66,78,0,Low
CUST_26,Justin Baker,1216,Verified,False,9059.56,1,25,1,776.79,78,0,Low
CUST_27,Stephanie Ross,956,Verified,False,1775.82,1,1,1,123.31,78,0,Low
CUST_28,Zachary Hicks,2325,Verified,False,11535.5,1,5,1,132.3,78,0,Low
CUST_29,Anthony Rodriguez,1185,Pending,False,1301.55,1,13,1,1157.05,78,0,Low
CUST_30,Rebecca Henderson,460,Verified,False,1637.59,2,5,1,9.54,78,1,Low
CUST_31,James Ferrell,3386,Failed,False,1896.16,1,6,1,12.3,78,0,Medium (Compliance)
CUST_32,Tricia Valencia,22,Verified,False,1213.09,1,23,1,289.97,78,0,Low
CUST_33,Nathan Maldonado,2301,Verified,False,1658.34,1,12,1,7640.73,78,0,Low
CUST_34,Debra Davidson,748,Verified,False,5169.73,1,10,1,1424.68,78,1,Low
CUST_35,Jeffrey Chavez,2905,Verified,False,9916.87,1,2,1,169.66,78,0,Low
CUST_36,Sherri Baker,3633,Verified,False,4020.12,3,4,2,520.6,2,0,Low
