customer_id,full_name,account_age_days,kyc_status,pep_status,declared_monthly_income,device_id_count,unique_counterparties_30d,shared_ip_count,historical_avg_tx_amount,session_velocity_seconds,recent_failed_logins,risk_tier
C1573,Allison Hill,2614,Verified,False,9475.55,1,7,1,26.37,112,0,Low
C4935,Noah Rhodes,2240,Verified,False,2761.22,1,12,1,919.86,102,0,Low
C2908,Angie Henderson,908,Verified,False,1500.11,1,2,1,100.71,63,0,Low
C315,Daniel Wagner,1609,Verified,False,9289.85,2,6,1,480.41,117,0,Low
C4976,Cristian Santos,2430,Verified,False,1317.54,1,18,1,502.9,115,1,Low
C5082,Connie Lawrence,2070,Verified,False,2863.8,2,2,1,113.73,33,0,Low
C3961,Abigail Shaffer,3405,Verified,False,2023.43,2,6,2,156.09,116,0,Low
C1890,Gina Moore,535,Pending,False,1274.18,1,4,1,19.53,119,0,Low
C1932,Gabrielle Davis,1034,Verified,False,3907.53,2,9,1,10.11,106,0,Low
C3746,Ryan Munoz,3340,Verified,False,1575.89,1,10,1,174.24,114,0,Low
C2646,Monica Herrera,2491,Verified,False,1244.26,1,7,1,865.48,104,0,Low
C5290,Jamie Arnold,3184,Verified,False,2393.45,3,5,1,113.6,42,5,Low
C2927,Lisa Hensley,1038,Verified,False,1555.93,1,7,2,6.57,32,0,Low
C4297,Michele Williams,3490,Verified,False,1896.28,2,6,1,72.99,2,0,Low
C1541,Dylan Miller,1577,Pending,False,2473.18,2,7,1,70.45,33,0,Low
C1679,Brian Ramirez,2692,Verified,False,5152.04,1,23,1,87.3,89,0,Low
C1865,Holly Wood,1466,Verified,False,1791.57,1,2,1,32.05,107,1,Low
C1718,Derek Zuniga,2565,Verified,False,776.61,2,9,1,50.03,109,0,Low
C496,Lisa Jackson,3258,Verified,False,4718.24,2,3,2,15.73,38,0,Low
C1149,Carla Gray,194,Verified,False,1549.6,2,35,1,3249.53,78,0,High (Network Risk)
C999,Margaret Hawkins DDS,3426,Verified,False,4002.03,2,7,1,1826.99,77,0,Low
C3509,Patty Perez,1612,Verified,False,8530.66,1,2,1,35.22,76,0,Low
C2087,Ethan Adams,1943,Verified,False,2685.61,1,6,1,159.81,111,0,Low
C3294,Tommy Walter,132,Failed,False,1173.96,1,2,1,60.65,40,0,Medium (Compliance)
C3176,Matthew Foster,177,Verified,False,2255.3,1,4,1,117.21,36,0,Low
C4880,Judy Baker,3387,Verified,False,1299.0,2,12,1,269.69,95,0,Low
C3355,Justin Baker,3435,Pending,False,1243.48,2,21,5,197.61,84,0,High (Network Risk)
C5131,Stephanie Ross,2154,Pending,False,1916.25,3,57,1,647.87,74,0,High (Network Risk)
C1659,Zachary Hicks,2311,Verified,False,822.68,1,6,1,69.02,46,0,Low
C5525,Anthony Rodriguez,223,Verified,False,954.49,10,11,5,151.34,39,0,High (Network Risk)
C2047,Rebecca Henderson,2442,Verified,False,5496.0,1,14,1,3.64,86,0,Low
C5042,James Ferrell,2184,Verified,False,3212.4,10,44,5,188.69,112,5,High (Network Risk)
C633,Tricia Valencia,3379,Verified,False,3786.4,1,4,1,6.49,115,1,Low
C2034,Nathan Maldonado,2357,Verified,False,5701.06,2,24,1,22.25,51,0,Low
C1220,Debra Davidson,3207,Failed,False,445.96,2,3,1,999.45,82,0,Medium (Compliance)
C1270,Jeffrey Chavez,3579,Pending,False,2029.9,1,18,1,1017.94,77,0,Low
C4915,Sherri Baker,3421,Verified,False,12476.71,1,4,2,32.8,115,0,Low
C1373,Cassandra Gaines,2397,Verified,False,15159.67,2,4,1,1947.05,105,0,Low
C781,Elizabeth Fowler,3306,Verified,False,1396.72,1,5,1,440.13,41,0,Low
C3868,Brittany Farmer,2949,Verified,False,1138.65,1,3,1,305.06,90,0,Low
C850,Paula Moreno,595,Verified,False,353.39,1,10,20,26.01,103,0,High (Network Risk)
C1891,Fred Smith,2831,Verified,False,1811.3,1,19,1,2276.15,51,0,Low
C5040,Sherry Decker,1893,Verified,False,4864.01,3,1,2,443.62,61,5,Low
C5184,Anthony Humphrey,2634,Pending,False,6707.81,1,58,1,45.13,119,0,High (Network Risk)
C14,Angelica Tucker,2230,Verified,False,737.83,1,3,1,4.57,63,0,Low
C3849,Philip Cannon,395,Verified,False,2247.18,3,15,1,25.9,38,0,Low
C3052,John Pierce,2239,Verified,False,1600.55,1,23,1,187.94,117,0,Low
C768,Shane Henderson,1221,Verified,False,925.93,2,6,1,107.72,102,5,Low
C711,Joshua Blair,2902,Pending,False,1469.49,2,4,1,1400.49,35,0,Low
C3441,Eric Carney,2750,Verified,False,6289.09,1,2,1,29.88,71,0,Low
C4755,Jessica Holmes,3260,Verified,False,4378.97,1,35,1,235.27,97,0,High (Network Risk)
C475,Danny Morgan,3260,Verified,False,3872.43,1,21,1,714.06,36,1,Low
C877,Crystal Robinson,3148,Verified,False,10297.3,1,1,1,20.6,69,0,Low
C3369,Mark Perez,597,Verified,False,2418.28,1,12,1,371.27,2,0,Low
C4933,Shannon Jones,2052,Verified,False,2339.4,1,3,2,144.96,41,0,Low
C1463,Michael Lewis,1,Verified,False,4161.7,1,4,5,64.99,37,0,High (Network Risk)
C1881,Timothy Duncan,1148,Verified,False,993.67,2,2,1,5.51,80,10,Low
C5426,Richard Aguirre,3105,Verified,False,6203.56,1,1,1,293.59,48,5,Low
C3189,Brent Jordan,2473,Verified,False,4984.41,1,7,1,53.97,95,0,Low
C3407,John Daniel,862,Pending,False,3933.87,1,33,2,83.86,109,0,High (Network Risk)
C4856,Victoria Garcia,3016,Verified,False,1337.37,2,3,1,1214.16,2,0,Low
C876,Gerald Hensley,1921,Verified,False,5346.13,1,15,1,141.6,56,0,Low
C3915,Connor West,2837,Verified,True,15080.66,1,17,1,213.73,48,0,Medium (Compliance)
C2760,Donald Wright,3618,Verified,False,4602.6,3,13,1,2770.88,84,0,Low
C5149,Jessica Callahan,1753,Verified,False,1546.65,2,36,1,191.3,93,0,High (Network Risk)
C190,Amber Kidd,2724,Pending,False,15956.67,2,15,1,44.92,47,0,Low
C4677,Tracy House,1879,Verified,False,4220.57,2,31,1,993.75,60,0,High (Network Risk)
C4697,Carol Tucker,593,Pending,False,15381.16,1,2,20,164.9,52,0,High (Network Risk)
C1451,James Brown,2454,Verified,False,1039.52,1,13,5,68.64,100,0,High (Network Risk)
C3790,William Baker,3382,Verified,False,1389.2,1,24,1,38.63,61,1,Low
C2430,Jordan Henderson,3089,Verified,False,6076.65,2,3,1,96.59,86,1,Low
C5039,Whitney Peters,788,Pending,False,196.69,3,0,1,616.1,115,1,Low
C5419,Brittney Phillips,3208,Verified,False,18323.13,3,2,1,64.2,53,0,Low
C5194,Lauren Daniels,3014,Pending,False,9923.23,1,47,20,190.84,49,1,High (Network Risk)
C1296,Amy Silva,759,Verified,False,1391.37,2,11,1,42.08,62,1,Low
C561,Sarah Moore,41,Verified,False,9458.64,2,4,1,1256.73,89,0,Low
C1460,Angela Lopez,3306,Verified,False,2954.64,1,7,1,18.8,64,0,Low
C3824,Megan Young,859,Verified,False,2209.14,1,4,1,34.09,63,0,Low
C3159,Steve Sanchez,61,Verified,False,1057.89,1,6,1,55.17,107,0,Low
C2970,Lisa Barnes,404,Verified,False,7815.28,1,7,1,19.27,42,0,Low
C1259,Kelly Donovan,3599,Verified,False,5588.9,2,4,1,326.8,83,1,Low
C628,Mike Allen,2034,Verified,False,3720.12,1,14,2,412.47,79,0,Low
C146,Michael Evans,1460,Verified,False,894.6,1,22,1,390.96,67,0,Low
C4678,Paul Jones,2202,Pending,False,4724.88,1,2,1,416.68,63,1,Low
C264,Zachary Ferrell,884,Verified,False,7580.06,1,8,2,15.94,88,0,Low
C1066,Daniel Baker,2579,Verified,False,16349.72,2,2,1,218.35,108,0,Low
C1716,Shirley Suarez,163,Verified,False,2462.11,1,1,1,1172.06,36,10,Low
